# Optical constant: MgFeSiO4 (Draine2003)
# Mie theory: Miepython package
# a = 0.10 micron
# wavelength: micron
#wavelength 	 Qabs
6.199200e-05 4.817757e-04
6.525474e-05 5.577737e-04
6.888000e-05 6.506995e-04
7.293177e-05 7.651516e-04
7.749000e-05 9.081016e-04
8.265600e-05 1.088889e-03
8.856000e-05 1.320539e-03
9.537231e-05 1.623555e-03
1.033200e-04 2.026382e-03
1.127127e-04 2.573889e-03
1.239840e-04 3.338371e-03
1.305095e-04 3.836692e-03
1.377600e-04 4.437870e-03
1.408909e-04 4.714547e-03
1.441674e-04 5.013390e-03
1.476000e-04 5.338404e-03
1.512000e-04 5.694045e-03
1.549800e-04 6.076495e-03
1.569418e-04 6.287045e-03
1.589538e-04 6.500768e-03
1.610182e-04 6.727577e-03
1.631369e-04 6.961568e-03
1.653120e-04 7.207163e-03
1.675459e-04 7.468501e-03
1.698411e-04 7.739669e-03
1.717230e-04 8.771715e-03
1.719612e-04 8.614903e-03
1.722000e-04 8.559652e-03
1.723197e-04 8.534476e-03
1.724395e-04 8.538198e-03
1.725595e-04 8.739016e-03
1.726797e-04 8.934697e-03
1.728000e-04 9.197228e-03
1.729205e-04 9.329883e-03
1.730412e-04 9.203642e-03
1.731620e-04 8.885991e-03
1.732830e-04 8.377122e-03
1.734042e-04 7.993148e-03
1.735256e-04 8.011502e-03
1.736471e-04 8.455213e-03
1.737688e-04 8.745329e-03
1.738906e-04 9.111330e-03
1.739150e-04 9.305411e-03
1.739394e-04 9.694827e-03
1.739638e-04 1.015061e-02
1.739882e-04 1.066312e-02
1.740126e-04 1.124173e-02
1.740371e-04 1.169630e-02
1.740615e-04 1.188464e-02
1.740859e-04 1.143657e-02
1.741104e-04 1.073175e-02
1.741348e-04 9.959962e-03
1.741593e-04 9.182951e-03
1.741838e-04 8.343540e-03
1.742082e-04 7.508336e-03
1.742327e-04 6.214334e-03
1.742572e-04 4.918798e-03
1.742817e-04 3.622683e-03
1.743062e-04 2.974800e-03
1.743307e-04 2.715719e-03
1.743552e-04 2.651149e-03
1.743797e-04 2.652693e-03
1.744043e-04 2.653276e-03
1.744288e-04 2.589695e-03
1.744534e-04 2.460043e-03
1.744779e-04 2.396492e-03
1.745025e-04 2.331997e-03
1.746254e-04 2.337056e-03
1.771200e-04 2.433428e-03
1.907446e-04 3.006856e-03
2.066400e-04 3.775170e-03
2.254255e-04 4.828982e-03
2.479680e-04 6.315123e-03
2.755200e-04 8.478540e-03
3.099600e-04 1.174796e-02
3.542400e-04 1.693305e-02
4.132800e-04 2.565025e-02
4.428000e-04 3.078298e-02
4.768615e-04 3.741004e-02
5.166000e-04 4.597971e-02
5.635637e-04 5.736162e-02
6.199200e-04 7.269787e-02
6.525474e-04 8.235575e-02
6.594894e-04 8.447694e-02
6.612480e-04 8.723891e-02
6.616008e-04 8.730891e-02
6.619541e-04 8.740157e-02
6.623077e-04 8.747122e-02
6.626617e-04 8.756355e-02
6.630160e-04 8.883921e-02
6.633708e-04 9.013415e-02
6.637260e-04 9.181047e-02
6.640814e-04 9.427131e-02
6.644373e-04 9.750821e-02
6.647936e-04 9.996842e-02
6.649362e-04 1.003955e-01
6.651502e-04 9.926945e-02
6.655073e-04 9.758501e-02
6.658647e-04 9.746855e-02
6.662225e-04 9.755358e-02
6.665807e-04 9.328577e-02
6.669392e-04 9.058050e-02
6.672982e-04 9.145807e-02
6.676575e-04 9.273842e-02
6.680173e-04 9.679166e-02
6.683774e-04 1.000197e-01
6.687379e-04 1.040283e-01
6.690988e-04 1.037326e-01
6.694600e-04 9.871204e-02
6.698217e-04 9.563163e-02
6.701838e-04 9.611791e-02
6.703287e-04 9.654385e-02
6.704737e-04 9.736995e-02
6.706188e-04 9.779465e-02
6.707639e-04 9.824123e-02
6.709091e-04 1.006387e-01
6.710544e-04 1.053647e-01
6.711997e-04 1.124198e-01
6.713450e-04 1.232251e-01
6.714905e-04 1.316497e-01
6.716360e-04 1.398673e-01
6.717815e-04 1.443501e-01
6.719272e-04 1.369713e-01
6.720729e-04 1.157003e-01
6.722186e-04 9.700219e-02
6.723644e-04 8.910699e-02
6.727293e-04 7.695917e-02
6.730945e-04 7.279296e-02
6.734601e-04 7.206919e-02
6.738261e-04 7.052213e-02
6.741925e-04 7.021060e-02
6.745593e-04 7.028817e-02
6.749265e-04 6.997700e-02
6.752941e-04 6.801831e-02
6.753677e-04 6.723203e-02
6.756621e-04 6.729543e-02
6.888000e-04 7.066033e-02
7.293177e-04 8.151085e-02
7.749000e-04 9.465635e-02
8.265600e-04 1.106433e-01
8.550621e-04 1.199127e-01
8.856000e-04 1.302477e-01
8.984348e-04 1.347214e-01
9.116471e-04 1.393009e-01
9.184000e-04 1.417402e-01
9.252537e-04 1.470142e-01
9.287191e-04 1.527401e-01
9.301126e-04 1.572186e-01
9.308108e-04 1.608821e-01
9.315102e-04 1.657093e-01
9.322105e-04 1.693927e-01
9.324910e-04 1.700746e-01
9.329120e-04 1.684056e-01
9.336145e-04 1.659592e-01
9.343181e-04 1.659929e-01
9.350227e-04 1.661722e-01
9.357283e-04 1.599736e-01
9.364351e-04 1.561106e-01
9.371429e-04 1.574757e-01
9.378518e-04 1.594232e-01
9.385617e-04 1.654590e-01
9.392728e-04 1.701249e-01
9.399849e-04 1.760436e-01
9.406980e-04 1.757828e-01
9.414123e-04 1.684830e-01
9.421277e-04 1.640272e-01
9.428441e-04 1.649281e-01
9.435617e-04 1.671256e-01
9.442803e-04 1.716082e-01
9.445681e-04 1.785459e-01
9.448560e-04 1.887774e-01
9.451440e-04 2.043495e-01
9.454323e-04 2.163592e-01
9.457208e-04 2.281575e-01
9.460095e-04 2.345382e-01
9.462984e-04 2.240765e-01
9.465872e-04 1.936395e-01
9.468764e-04 1.666167e-01
9.471658e-04 1.550899e-01
9.478899e-04 1.372490e-01
9.486152e-04 1.310754e-01
9.493415e-04 1.301530e-01
9.500690e-04 1.279493e-01
9.507976e-04 1.275559e-01
9.515273e-04 1.277664e-01
9.522581e-04 1.273739e-01
9.529900e-04 1.245667e-01
9.531365e-04 1.233388e-01
9.537231e-04 1.235704e-01
9.918720e-04 1.354300e-01
1.033200e-03 1.488137e-01
1.078122e-03 1.638247e-01
1.127127e-03 1.808283e-01
1.180800e-03 2.000164e-01
1.239840e-03 2.215672e-01
1.246070e-03 2.238364e-01
1.252364e-03 2.261656e-01
1.258721e-03 2.285525e-01
1.265143e-03 2.308969e-01
1.271631e-03 2.333938e-01
1.278186e-03 2.358455e-01
1.284808e-03 2.383482e-01
1.291500e-03 2.408045e-01
1.298262e-03 2.434034e-01
1.305095e-03 2.456747e-01
1.312000e-03 2.479953e-01
1.318979e-03 2.503627e-01
1.326032e-03 2.527752e-01
1.333161e-03 2.553208e-01
1.340368e-03 2.578166e-01
1.347652e-03 2.607922e-01
1.355016e-03 2.639709e-01
1.362462e-03 2.672588e-01
1.369989e-03 2.703955e-01
1.373023e-03 2.715989e-01
1.377600e-03 2.731316e-01
1.385296e-03 2.753094e-01
1.393079e-03 2.770262e-01
1.396216e-03 2.776690e-01
1.399368e-03 2.783880e-01
1.402534e-03 2.791828e-01
1.405714e-03 2.801346e-01
1.408909e-03 2.812412e-01
1.412118e-03 2.826633e-01
1.415343e-03 2.843963e-01
1.418581e-03 2.859539e-01
1.421835e-03 2.874182e-01
1.425104e-03 2.889492e-01
1.426743e-03 2.896305e-01
1.428387e-03 2.903089e-01
1.430035e-03 2.909837e-01
1.431686e-03 2.916564e-01
1.433341e-03 2.924832e-01
1.435000e-03 2.933063e-01
1.436663e-03 2.941255e-01
1.438329e-03 2.951759e-01
1.440000e-03 2.966879e-01
1.441674e-03 2.983478e-01
1.443353e-03 3.001533e-01
1.445035e-03 3.021028e-01
1.446721e-03 3.037353e-01
1.448411e-03 3.047490e-01
1.450105e-03 3.043862e-01
1.451803e-03 3.033359e-01
1.453505e-03 3.022089e-01
1.455211e-03 3.010050e-01
